HGNC ID	Approved Symbol	Previous Symbols	Synonyms	Chromosome	Gene Family Name	UniProt ID(supplied by UniProt)
HGNC:28235	ABHD14B		MGC15429, CIB	3p21.2	Abhydrolase domain containing	Q96IU4
HGNC:26971	ABHD15			17q11.2	Abhydrolase domain containing	Q6UXT9
HGNC:49685	ABHD15-AS1		linc-TP53I13, lnc-TP53I13	17q11.2		
HGNC:13921	ABHD16A	BAT5	NG26, D6S82E	6p21.33	Abhydrolase domain containing	O95870
HGNC:16128	ABHD16B	C20orf135	dJ591C20.1	20q13.33	Abhydrolase domain containing	Q9H3Z7
HGNC:28756	ABHD17A	C19orf27, FAM108A1	MGC5244	19p13.3	Abhydrolase domain containing	Q96GS6
HGNC:28394	ABHD17AP1	FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P	C1orf47	1q21.2		
HGNC:34041	ABHD17AP3	FAM108A4, FAM108A4P		1q41		
HGNC:34042	ABHD17AP4	FAM108A5, FAM108A5P		22q11.21		
HGNC:34043	ABHD17AP5	FAM108A6, FAM108A6P		22q11.22		
HGNC:34044	ABHD17AP6	FAM108A7P		17p11.2		
HGNC:38508	ABHD17AP7	FAM108A8P		16p11.2		
HGNC:38509	ABHD17AP8	FAM108A9P		16p11.2		
HGNC:38510	ABHD17AP9	FAM108A10P		16p11.2		
HGNC:24278	ABHD17B	C9orf77, FAM108B1	CGI-67	9q21.13	Abhydrolase domain containing	Q5VST6
HGNC:26925	ABHD17C	FAM108C1		15q25.1	Abhydrolase domain containing	Q6PCB6
HGNC:26111	ABHD18	C4orf29	FLJ21106	4q28.2		Q0P651
HGNC:11320	ABI1	SSH3BP1	E3B1, ABI-1	10p12.1		Q8IZP0
HGNC:20035	ABI1P1	SSH3BP1P, ABI1P		14q22.3		
HGNC:24011	ABI2		ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2	2q33.2		Q9NYB9
HGNC:29859	ABI3		NESH, SSH3BP3	17q21.32		Q9P2A4
HGNC:17265	ABI3BP		NESHBP, DKFZP586L2024, TARSH	3q12.2	Fibronectin type III domain containing	Q7Z7G0
HGNC:76	ABL1	ABL	JTK7, c-ABL, p150	9q34.12	SH2 domain containing	P00519
HGNC:77	ABL2	ABLL	ARG	1q25.2	SH2 domain containing	P42684
HGNC:78	ABLIM1	LIMAB1, ABLIM	abLIM, limatin	10q25.3	LIM domain containing	O14639
HGNC:19195	ABLIM2		KIAA1808	4p16.1	LIM domain containing	Q6H8Q1
HGNC:29132	ABLIM3		KIAA0843	5q32	LIM domain containing	O94929
HGNC:79	ABO		A3GALNT, A3GALT1	9q34.2	Glycosyltransferase family 6|Blood group antigens	P16442
HGNC:81	ABR		MDB	17p13.3	Rho guanine nucleotide exchange factors|Pleckstrin homology domain containing|C2 domain containing	Q12979
HGNC:30655	ABRA		STARS	8q23.1		Q8N0Z2
HGNC:21230	ABRACL	C6orf115	PRO2013, HSPC280, Costars	6q24.1		Q9P1F3
HGNC:17369	ABT1			6p22.2		Q9ULW3
HGNC:39557	ABT1P1			4q23		
HGNC:18275	ABTB1		BPOZ, EF1ABP, Btb3, BTBD21	3q21.3	BTB domain containing|Ankyrin repeat domain containing	Q969K4
HGNC:23842	ABTB2		DKFZP586C1619, BTBD22, ABTB2A	11p13	BTB domain containing|Ankyrin repeat domain containing	Q8N961
HGNC:82	ACAA1			3p22.2		P09110
HGNC:83	ACAA2		DSAEC	18q21.1		P42765
HGNC:84	ACACA	ACAC, ACC	ACC1	17q12		Q13085
HGNC:85	ACACB		HACC275, ACC2, ACCB	12q24.11		O00763
HGNC:87	ACAD8			11q25	Acyl-CoA dehydrogenase family	Q9UKU7
HGNC:21497	ACAD9		NPD002, MGC14452	3q21.3	Acyl-CoA dehydrogenase family|Mitochondrial complex I assembly complex	Q9H845
HGNC:21597	ACAD10		MGC5601	12q24.12	Acyl-CoA dehydrogenase family	Q6JQN1
HGNC:30211	ACAD11		FLJ12592	3q22.1	Acyl-CoA dehydrogenase family	Q709F0
HGNC:88	ACADL		LCAD, ACAD4	2q34	Acyl-CoA dehydrogenase family	P28330
HGNC:89	ACADM		MCAD, MCADH, ACAD1	1p31.1	Acyl-CoA dehydrogenase family	P11310
HGNC:90	ACADS		SCAD, ACAD3	12q24.31	Acyl-CoA dehydrogenase family	P16219
HGNC:91	ACADSB		SBCAD, ACAD7	10q26.13	Acyl-CoA dehydrogenase family	P45954
HGNC:92	ACADVL		VLCAD, LCACD, ACAD6	17p13.1	Acyl-CoA dehydrogenase family	P49748
HGNC:319	ACAN	MSK16, CSPG1, AGC1	CSPGCP	15q26.1	Sushi domain containing|Hyalectan proteoglycans|V-set domain containing|C-type lectin domain containing	P16112
HGNC:16467	ACAP1	CENTB1	KIAA0050	17p13.1	Ankyrin repeat domain containing|Pleckstrin homology domain containing|ArfGAPs|BAR-PH domain containing	Q15027
HGNC:16469	ACAP2	CENTB2	KIAA0041, CNT-B2	3q29	Ankyrin repeat domain containing|Pleckstrin homology domain containing|ArfGAPs|BAR-PH domain containing	Q15057
HGNC:41426	ACAP2-IT1			3q29		
HGNC:16754	ACAP3	CENTB5	KIAA1716	1p36.33	Ankyrin repeat domain containing|Pleckstrin homology domain containing|ArfGAPs|BAR-PH domain containing	Q96P50
HGNC:93	ACAT1	ACAT	THIL	11q22.3		P24752
HGNC:94	ACAT2			6q25.3		Q9BWD1
HGNC:15453	ACBD3	GOLPH1, GOCAP1	GCP60, PAP7	1q42.12	A-kinase anchoring proteins	Q9H3P7
HGNC:40701	ACBD3-AS1			1q42.12		
HGNC:23337	ACBD4		FLJ13322	17q21.31		Q8NC06
HGNC:23338	ACBD5		DKFZp434A2417, KIAA1996	10p12.1		Q5T8D3
HGNC:23339	ACBD6		MGC2404	1q25.2-q25.3	Ankyrin repeat domain containing	Q9BR61
HGNC:17715	ACBD7		FLJ38219, bA455B2.2	10p13		Q8N6N7
HGNC:23989	ACCS		PHACS, ACS	11p11.2		Q96QU6
HGNC:34391	ACCSL			11p11.2		Q4AC99
HGNC:25070	ACD		Ptop, Pip1, Tpp1, Tint1	16q22.1	Shelterin complex	Q96AP0
HGNC:2707	ACE	DCP1	ACE1, CD143	17q23.3	CD molecules	P12821
HGNC:13557	ACE2			Xp22.2		Q9BYF1
HGNC:44365	ACE3P			17q23.3		
HGNC:18356	ACER1	ASAH3		19p13.3	Alkaline ceramidases	Q8TDN7
HGNC:23675	ACER2	ASAH3L	FLJ41587, ALKCDase2	9p22.1	Alkaline ceramidases	Q5QJU3
HGNC:16066	ACER3	PHCA	FLJ11238, APHC	11q13.5	Alkaline ceramidases	Q9NUN7
HGNC:108	ACHE	YT		7q22.1	Blood group antigens	P22303
HGNC:17066	ACIN1	ACINUS	KIAA0670, fSAP152	14q11.2	ASAP complex	Q9UKV3
HGNC:4035	ACKR1	FY, DARC	CCBP1, GPD, Dfy, CD234	1q23.2	CD molecules|Blood group antigens|Atypical chemokine receptors	Q16570
HGNC:1565	ACKR2	CMKBR9, CCBP2	CCR10, D6, CCR9	3p22.1	Atypical chemokine receptors	O00590
HGNC:23692	ACKR3	CMKOR1, CXCR7	RDC1, GPR159	2q37.3	Atypical chemokine receptors	P25106
HGNC:1611	ACKR4	CCRL1	CCR11, CCBP2, VSHK1, CCX-CKR, PPR1	3q22.1	Atypical chemokine receptors	Q9NPB9
HGNC:114	ACLS			12p13.3-p11.2		
HGNC:115	ACLY		ATPCL, CLATP, ACL	17q21.2		P53396
HGNC:19288	ACMSD			2q21.3		Q8TDX5
HGNC:117	ACO1	IREB1	IRP1, IREBP	9p21.1		P21399
HGNC:118	ACO2		ACONM	22q13.2		Q99798
HGNC:33904	ACOD1	IRG1	CAD	13q22.3		A6NK06
HGNC:33128	ACOT1		ACH2, CTE-1, LACH2	14q24.3	Acyl-CoA thioesterases	Q86TX2
HGNC:18431	ACOT2		Mte1, ZAP128	14q24.3	Acyl-CoA thioesterases	P49753
HGNC:19748	ACOT4		FLJ31235, PTE-Ib, PTE2B	14q24.3	Acyl-CoA thioesterases	Q8N9L9
HGNC:33159	ACOT6	C14orf42		14q24.3	Acyl-CoA thioesterases	Q3I5F7
HGNC:24157	ACOT7		BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH	1p36.31	Acyl-CoA thioesterases	O00154
HGNC:15919	ACOT8	PTE1	hACTE-III, hTE, PTE-2, NAP1	20q13.12	Acyl-CoA thioesterases	O14734
HGNC:17152	ACOT9		CGI-16, MT-ACT48, ACATE2	Xp22.11	Acyl-CoA thioesterases	Q9Y305
HGNC:18156	ACOT11	THEA	STARD14, BFIT, KIAA0707, BFIT1, THEM1	1p32.3	Acyl-CoA thioesterases|StAR related lipid transfer domain containing	Q8WXI4
HGNC:24436	ACOT12		Cach, THEAL, STARD15	5q14.1	Acyl-CoA thioesterases|StAR related lipid transfer domain containing	Q8WYK0
HGNC:20999	ACOT13	THEM2	HT012	6p22.3	Acyl-CoA thioesterases	Q9NPJ3
HGNC:119	ACOX1		PALMCOX	17q25.1		Q15067
HGNC:120	ACOX2		BRCACOX, BRCOX, THCCox	3p14.3		Q99424
HGNC:121	ACOX3			4p16.1		O15254
HGNC:25621	ACOXL		FLJ11042	2q13		Q9NUZ1
HGNC:41112	ACOXL-AS1			2q13		
HGNC:122	ACP1		HAAP, LMW-PTP, LMWPTP	2p25.3	Acid phosphatases|Class II Cys-based phosphatases	P24666
HGNC:123	ACP2		LAP	11p11.2	Acid phosphatases	P11117
HGNC:124	ACP5		TRAP, HPAP	19p13.2	Acid phosphatases	P13686
HGNC:29609	ACP6		LPAP, ACPL1	1q21.2	Acid phosphatases	Q9NPH0
HGNC:33781	ACP7		FLJ16165, PAPL1, PAPL	19q13.2		Q6ZNF0
HGNC:125	ACPP		ACP3, ACP-3, PAP	3q22.1	Acid phosphatases	P15309
HGNC:14376	ACPT			19q13.33	Acid phosphatases	Q9BZG2
HGNC:126	ACR			22q13.33		P10323
HGNC:17195	ACRBP		SP32, OY-TES-1, CT23	12p13.31		Q8NEB7
HGNC:127	ACRV1		SPACA2, SP-10, D11S4365	11q24.2		P26436
HGNC:29567	ACSBG1		BGM, FLJ30320, MGC14352, BG1, KIAA0631, hBG1, hsBG	15q25.1	Acyl-CoA synthetase family	Q96GR2
HGNC:24174	ACSBG2		BGR, PRTD-NY3, DKFZp434K1635	19p13.3	Acyl-CoA synthetase family	Q5FVE4
HGNC:26101	ACSF2		FLJ20920, ACSMW	17q21.33	Acyl-CoA synthetase family	Q96CM8
HGNC:27288	ACSF3			16q24.3	Acyl-CoA synthetase family	Q4G176
HGNC:3569	ACSL1	FACL2	LACS2, LACS, ACS1, LACS1, FACL1	4q35.1	Acyl-CoA synthetase family	P33121
HGNC:3570	ACSL3	FACL3	ACS3, PRO2194	2q36.1	Acyl-CoA synthetase family	O95573
HGNC:3571	ACSL4	FACL4, MRX63, MRX68	ACS4, LACS4	Xq23	X-linked mental retardation|Acyl-CoA synthetase family	O60488
HGNC:16526	ACSL5	FACL5	ACS5, ACS2	10q25.2	Acyl-CoA synthetase family	Q9ULC5
HGNC:16496	ACSL6	FACL6	KIAA0837, ACS2, LACS5, LACS2	5q31.1	Acyl-CoA synthetase family	Q9UKU0
HGNC:18049	ACSM1	BUCS1	MACS1	16p12.3	Acyl-CoA synthetase family	Q08AH1
HGNC:32017	ACSM2A	ACSM2	A-923A4.1, MGC150530	16p12.3	Acyl-CoA synthetase family	Q08AH3
HGNC:30931	ACSM2B	ACSM2	HXMA, HYST1046	16p12.3	Acyl-CoA synthetase family	Q68CK6
HGNC:10522	ACSM3	SAH	SA	16p12.3	Acyl-CoA synthetase family	Q53FZ2
HGNC:32016	ACSM4			12p13.31	Acyl-CoA synthetase family	P0C7M7
HGNC:26060	ACSM5		FLJ20581	16p12.3	Acyl-CoA synthetase family	Q6NUN0
HGNC:51295	ACSM5P1			16p12.3		
HGNC:31665	ACSM6	C10orf129	bA310E22.3	10q23.33		Q6P461
HGNC:16091	ACSS1	ACAS2L	dJ568C11.3, AceCS2L, MGC33843	20p11.21	Acyl-CoA synthetase family	Q9NUB1
HGNC:15814	ACSS2	ACAS2	ACS, ACSA, AceCS, dJ1161H23.1	20q11.22	Acyl-CoA synthetase family	Q9NR19
HGNC:24723	ACSS3		FLJ21963	12q21.31	Acyl-CoA synthetase family	Q9H6R3
HGNC:129	ACTA1	ACTA	NEM3	1q42.13	Actins	P68133
HGNC:130	ACTA2		ACTSA	10q23.31	Actins	P62736
HGNC:45169	ACTA2-AS1		uc001kfo.1, ZXF1	10q23.31		
HGNC:132	ACTB			7p22.1	Actins	P60709
HGNC:17780	ACTBL2		DKFZp686D0972	5q11.2		Q562R1
HGNC:134	ACTBP1			Xp11.3		
HGNC:135	ACTBP2			5q14.1		
HGNC:136	ACTBP3			18q21.33		
HGNC:137	ACTBP4			5q23.3		
HGNC:139	ACTBP6			8q21.2		
HGNC:140	ACTBP7			15q15.3		
HGNC:141	ACTBP8		ACTBP2	6q15		
HGNC:142	ACTBP9			18q21.33		
HGNC:31819	ACTBP10			14q11.2		
HGNC:33971	ACTBP11			1q41		
HGNC:150	ACTBP12	ACTGP5		1p22.1		
HGNC:44626	ACTBP13			3p21.31		
HGNC:45086	ACTBP14			10q22.1		
HGNC:143	ACTC1	ACTC	CMD1R	15q14	Actins	P68032
HGNC:144	ACTG1	ACTG, DFNA20, DFNA26		17q25.3	Actins|Deafness associated genes	P63261
HGNC:146	ACTG1P1	ACTGP1, ACT1GP1		3q23		
HGNC:147	ACTG1P2	ACTL2, ACTGP2		Yq11.222		
HGNC:148	ACTG1P3	ACTGP3		20p13		
HGNC:149	ACTG1P4	ACTGP4		1p21.1		
HGNC:151	ACTG1P6	ACTGP6		1p21		
HGNC:152	ACTG1P7	ACTGP7		1p21		
HGNC:153	ACTG1P8	ACTGP8		1p21		
HGNC:154	ACTG1P9	ACTGP9		6p12.3		
HGNC:155	ACTG1P10	ACTL1, ACTGP10		Xp11.22		
HGNC:37651	ACTG1P11			Yq11.222		
HGNC:44496	ACTG1P12			3p25.2		
HGNC:49058	ACTG1P13			3q12.1		
HGNC:49751	ACTG1P14			9p24.1		
HGNC:51495	ACTG1P15			15q14		
HGNC:51496	ACTG1P16			16q12.1		
HGNC:51497	ACTG1P17			15q25.2		
HGNC:51498	ACTG1P18			6q16.3		
HGNC:51499	ACTG1P19			9q31.1		
HGNC:51500	ACTG1P20			1p36.11		
HGNC:51501	ACTG1P21			1p31.1		
HGNC:51502	ACTG1P22			2p16.1		
HGNC:51503	ACTG1P23			3q26.31		
HGNC:49661	ACTG1P24	POTENP		17p11.2		
HGNC:145	ACTG2	ACTL3, ACTA3	ACTSG	2p13.1	Actins	P63267
HGNC:24124	ACTL6A		Actl6, BAF53A, Arp4, Baf53a, INO80K	3q26.33	INO80 complex |SRCAP complex	O96019
HGNC:160	ACTL6B	ACTL6	BAF53B	7q22.1		O94805
HGNC:161	ACTL7A			9q31.3		Q9Y615
HGNC:162	ACTL7B		Tact1	9q31.3		Q9Y614
HGNC:24018	ACTL8		CT57	1p36.13		Q9H568
HGNC:28494	ACTL9		MGC33407	19p13.2		Q8TC94
HGNC:16127	ACTL10	C20orf134		20q11.22		Q5JWF8
HGNC:163	ACTN1			14q24.1	Actinins	P12814
HGNC:20131	ACTN1-AS1	C14orf84		14q24.1		
HGNC:164	ACTN2			1q43	Actinins	P35609
HGNC:165	ACTN3			11q13.2	Actinins	Q08043
HGNC:166	ACTN4	FSGS1		19q13.2	Actinins	O43707
HGNC:44028	ACTN4P1			4q26		
HGNC:44032	ACTN4P2			1p34.3		
HGNC:51621	ACTP1			2q12.3		
HGNC:167	ACTR1A		ARP1, Arp1A	10q24.32		P61163
HGNC:168	ACTR1B	CTRN2	Arp1B	2q11.2		P42025
HGNC:169	ACTR2		ARP2	2p14	Actin related protein 2/3 complex 	P61160
HGNC:170	ACTR3		ARP3	2q14.1	Actin related protein 2/3 complex 	P61158
HGNC:17256	ACTR3B		ARP11, ARP3beta	7q36.1-q36.2		Q9P1U1
HGNC:37724	ACTR3BP1			Yq11.21		
HGNC:38677	ACTR3BP2		FKSG73	2p11.1		
HGNC:38678	ACTR3BP3			16p11.2		
HGNC:38681	ACTR3BP4			4q24		
